frame,label
1,ignore
2,ignore
3,ignore
4,ignore
5,ignore
6,ignore
7,ignore
8,ignore
9,ignore
10,ignore
11,ignore
12,ignore
13,ignore
14,ignore
15,ignore
16,ignore
17,ignore
18,ignore
19,ignore
20,ignore
21,ignore
22,ignore
23,ignore
24,ignore
25,ignore
26,ignore
27,ignore
28,ignore
29,ignore
30,ignore
31,ignore
32,ignore
33,ignore
34,ignore
35,ignore
36,ignore
37,ignore
38,ignore
39,ignore
40,ignore
41,ignore
42,ignore
43,ignore
44,ignore
45,ignore
46,not_fall
47,not_fall
48,not_fall
49,not_fall
50,not_fall
51,not_fall
52,not_fall
53,not_fall
54,not_fall
55,not_fall
56,not_fall
57,not_fall
58,not_fall
59,not_fall
60,not_fall
61,not_fall
62,not_fall
63,not_fall
64,not_fall
65,not_fall
66,not_fall
67,not_fall
68,not_fall
69,not_fall
70,not_fall
71,not_fall
72,not_fall
73,not_fall
74,not_fall
75,not_fall
76,not_fall
77,not_fall
78,not_fall
79,not_fall
80,not_fall
81,not_fall
82,not_fall
83,not_fall
84,not_fall
85,not_fall
86,not_fall
87,not_fall
88,not_fall
89,not_fall
90,not_fall
91,not_fall
92,not_fall
93,not_fall
94,not_fall
95,not_fall
96,not_fall
97,not_fall
98,not_fall
99,not_fall
100,not_fall
101,not_fall
102,not_fall
103,not_fall
104,not_fall
105,not_fall
106,not_fall
107,not_fall
108,not_fall
109,not_fall
110,not_fall
111,not_fall
112,not_fall
113,not_fall
114,not_fall
115,not_fall
116,not_fall
117,not_fall
118,not_fall
119,not_fall
120,not_fall
121,not_fall
122,not_fall
123,not_fall
124,not_fall
125,not_fall
126,not_fall
127,not_fall
128,not_fall
129,not_fall
130,not_fall
131,not_fall
132,not_fall
133,not_fall
134,not_fall
135,not_fall
136,not_fall
137,not_fall
138,fall
139,fall
140,fall
141,fall
142,fall
143,fall
144,fall
145,fall
146,fall
147,fall
148,fall
149,fall
150,fall
151,fall
152,fall
153,fall
154,fall
155,fall
156,fall
157,fall
158,fall
159,fall
160,fall
161,fall
162,fall
163,fall
164,fall
165,fall
166,fall
167,fall
168,fall
169,fall
170,fall
171,fall
172,fall
173,fall
174,fall
175,fall
176,fall
177,fall
178,fall
179,fall
180,fall
181,fall
182,fall
183,fall
184,fall
185,fall
186,fall
187,fall
188,fall
189,fall
190,fall
191,fall
192,fall
193,fall
194,fall
195,fall
196,fall
197,fall
198,fall
199,fall
200,fall
201,fall
202,fall
203,fall
204,fall
205,fall
206,fall
207,fall
208,fall
209,fall
210,fall
211,fall
212,fall
213,fall
214,fall
215,fall
216,fall
217,fall
218,fall
219,fall
220,fall
221,fall
222,fall
223,fall
224,fall
225,fall
226,fall
227,fall
228,fall
229,fall
230,fall
231,fall
232,fall
233,fall
234,fall
235,fall
236,fall
237,fall
238,fall
239,fall
240,fall
241,fall
242,fall
243,fall
244,fall
245,fall
246,fall
247,fall
248,fall
249,fall
250,fall
251,fall
252,fall
253,fall
254,fall
255,fall
256,fall
257,fall
258,fall
259,fall
260,fall
261,fall
262,fall
263,fall
264,fall
265,fall
266,fall
267,fall
268,fall
269,fall
270,fall
271,fall
272,fall
273,fall
274,fall
275,fall
276,fall
277,fall
278,fall
279,fall
280,fall
281,fall
282,fall
283,fall
284,fall
285,fall
286,fall
287,fall
288,fall
289,fall
290,fall
291,fall
292,fall
293,fall
294,fall
295,fall
296,fall
297,fall
298,fall
299,fall
300,fall
301,fall
302,fall
303,fall
304,fall
305,fall
306,fall
307,fall
308,fall
309,fall
310,fall
311,fall
312,fall
313,fall
314,fall
315,fall
316,fall
317,fall
318,fall
319,fall
320,fall
321,fall
322,fall
323,fall
324,fall
325,fall
326,fall
327,fall
328,fall
329,fall
330,fall
331,fall
332,fall
333,fall
334,fall
335,fall
336,fall
337,fall
338,fall
339,fall
340,fall
341,fall
342,fall
343,fall
344,fall
345,fall
346,fall
347,fall
348,fall
349,fall
350,fall
351,fall
352,fall
353,fall
354,fall
355,fall
356,fall
357,fall
358,fall
359,fall
360,fall
361,fall
362,fall
363,fall
364,fall
365,fall
366,fall
367,fall
368,fall
369,fall
370,fall
371,fall
372,fall
373,fall
374,fall
375,fall
376,fall
377,fall
378,fall
379,fall
380,fall
381,fall
382,fall
383,fall
384,fall
385,fall
386,fall
387,fall
388,fall
389,fall
390,fall
391,fall
392,fall
393,fall
394,fall
395,fall
396,fall
397,fall
398,fall
399,fall
400,fall
401,fall
402,fall
403,fall
404,fall
405,fall
